X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
768;289;0.4867741;0.3263374;0.602235;0.2665966;403.9;0.1808752;False;2026-06-19 9:40:51 AM:718;1781854851718;;
815;285;0.5161927;0.3220295;0.6116903;0.2285949;405.0;0.1830344;False;2026-06-19 9:40:51 AM:752;1781854851752;;
847;282;0.5366524;0.3183627;0.611688;0.2285942;406.1;0.1830331;False;2026-06-19 9:40:51 AM:788;1781854851788;;
867;282;0.5496716;0.3183405;0.6107037;0.2605763;407.0;0.1841327;False;2026-06-19 9:40:51 AM:823;1781854851823;;
880;277;0.5575854;0.3128518;0.6062521;0.207533;407.9;0.1841073;False;2026-06-19 9:40:51 AM:857;1781854851857;;
889;274;0.563022;0.3086231;0.6042105;0.2087027;408.7;0.1803063;False;2026-06-19 9:40:51 AM:891;1781854851891;;
894;268;0.5663232;0.3018075;0.6012202;0.1814805;409.5;0.1802966;False;2026-06-19 9:40:51 AM:923;1781854851923;;
906;265;0.5739741;0.2985769;0.6311929;0.199453;410.5;0.1862302;False;2026-06-19 9:40:51 AM:955;1781854851955;;
914;262;0.5794391;0.2960883;0.6312023;0.1994552;411.5;0.1862346;False;2026-06-19 9:40:51 AM:986;1781854851986;;
916;262;0.5807205;0.2958808;0.6065697;0.2261092;412.3;0.1854889;False;2026-06-19 9:40:52 AM:18;1781854852018;;
918;262;0.5817307;0.2957089;0.6065543;0.2261048;413.0;0.1854821;False;2026-06-19 9:40:52 AM:48;1781854852048;;
918;259;0.5815783;0.2926724;0.5737289;0.1916072;412.4;0.1881571;False;2026-06-19 9:40:52 AM:80;1781854852080;;
918;257;0.5814564;0.2902763;0.5737051;0.1915991;411.9;0.1881462;False;2026-06-19 9:40:52 AM:110;1781854852110;;
917;255;0.5813498;0.2882074;0.5736896;0.1915938;411.4;0.1881391;False;2026-06-19 9:40:52 AM:142;1781854852142;;
917;254;0.581134;0.2869323;0.5693578;0.25675;411.8;0.1861186;False;2026-06-19 9:40:52 AM:173;1781854852173;;
917;254;0.5811329;0.2864847;0.5808444;0.2256033;412.1;0.1860777;False;2026-06-19 9:40:52 AM:206;1781854852206;;
